root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 84
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 85
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 101
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 102
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 96
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 86
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 87
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 88
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 89
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 90
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 91
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 92
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 103
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 93
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 97
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 104
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 94
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 105
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 98
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 106
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 107
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 99
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 95
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 96
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 97
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 98
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 99
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 108
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 100
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 109
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 101
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 100
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 102
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 103
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 110
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 111
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 101
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 102
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 104
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 112
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 113
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 105
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 103
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 114
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 115
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 106
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 116
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 117
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 107
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 118
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 104
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 105
